input,output
tumhaare phone ki battery khत्म हो गई?,"haan yaar, phone ka charger to mil hi nahi raha hai."
ye saari sabziyon ka kya karogi?,"mujhe kuchh recipes try karni thi, sabzi use karungi."
aap kabse jaanate ho usse?,"bahut time se, childhood friend hai."
kya aap mere sath aa sakte ho?,"sure, aap kahaan jaa rahe ho?"
tumhen yeh book padhni chahiye!,"thank you, i'll definitely check it out."
kya aaj tumhara koi plan hai?,"kuchh nahin, bas ghar pe relax karna hai."
mujhe aapki khushbu bahut pasand hai!,"achaa, kya khushbu lagaa huyi hai?"
kya aap mujhe music suna sakte ho?,"haan, kya gaana sunna chahte ho?"
aaj ki raat kaafi sardi hai!,"haan, kalam keene hota hai."
aap ka kya favourite food hai?,"mujhe sab kuchh pasand hai, but biryani toh fav hai."
aaj ka khana kaisa bana?,"bohot tasty, tumne banaya hai toh badhiya hi hoga."
kya aap mujhe kuchh help kar sakte ho?,"haan, batao kya chahiye?"
"tumhen kya pasand hai,chai ya coffee?","chai, meri favourite hai."
kaisa laga aaj ka movie?,"bahut majaa aaya, aise hi aur movies dekhne chahiye."
kya aap kaunsa restaurant jaa rahe ho?,aaj toh pizza khane ka mood hai.
"aaj kya plan hai,tumhara?","kuchh nahin, bas relax karna hai, aur tumhara?"
kya tumhara koi problem hai?,"nahin, sab theek hai."
aaj ka weather to bilkul perfect hai!,"haan, bahar jaane ka mann kar raha hai."
mujhe tumhara birthday gift bahut pasand aaya!,"thank you, i'm glad you liked it."
aap kabtak ghar aa rahe ho?,"maine aapko call kar diya tha, abhi hi aa raha hoon."
aaj ka dinner to shaandaar tha!,"haan, tumhari khana banane ki skills to kamaal hai."
mujhe aapki baat sun kar bahut sukoon milta hai!,aap ki baat bhi mujhe sukoon deti hai.
aaj kaise ho?,"achcha hun, tu bata."
kya plan hai aaj ke liye?,bas ghar pe relax karne ka.
movie dekhne chale?,"chalo, koi comedy wali."
khaana khana hai?,"haan, khane ka man kar raha hai."
coffee banau?,"haan, please."
shopping karne ja rahi ho?,"haan, kuchh clothes lene hain."
birthday party me kya pehnu?,koi simple sa dress hi pehno.
exams kaise gaye?,theek theek.
kab aayega bus?,paanch minute me aa jayega.
train ka ticket confirm hua?,"haan, confirmed ho gaya."
office ka kaam ho gaya?,abhi thoda baaki hai.
kal kya kar rahe ho?,kal office hi jaana hai.
kya tumhari help kar sakta hun?,"haan, thanks."
bhaiya ko call karo?,abhi thodi der me karti hun.
party mein kya banaun?,koi aise food banau jo sabko pasand ho.
weekend me kaha jaayen?,kuchh hill station pe chalte hain.
shopping karne jaayen?,"haan, shopping ke liye mood hai."
movie dekhte hain?,"chalo, koi thriller wali dekhte hain."
kitna bill hua?,teen hazaar.
kya khaana banaya?,aaj daal chawal banaya hai.
phone kaise chal raha hai?,"theek hai, par battery kam chal rahi hai."
wifi ka password kya hai?,password likha hua hai wall pe.
kuchh help chahiye?,"haan, please."
kitne rupees the?,do hundred.
dinner mein kya order kare?,aaj paneer butter masala order karte hain.
aaj kya special hai?,aaj butter chicken aur biryani special hai.
kya chai peena chahti ho?,"haan, garam chai please."
kitna time lagta hai?,half an hour lag jayega.
kya tumhari favorite movie hai?,"haan, mujhe romantic movies pasand hai."
kya tumhara favorite food hai?,mujhe pasta pasand hai.
kuchh paani laana hai?,"haan, please."
tumhara number kya hai?,number mujhe message kar do.
kitna distance hai?,do km ke doondh hi hai.
aaj kaise ho?,"accha hun, thoda thka hua hun."
kya kar rahe ho?,"bas yaar, ghar pe relax kar raha hun."
tumhara kya plan hai?,"kuchh nahi, ghar pe hi rehna hai."
kya tumhen yaad hai?,"haan, yaad hai."
tumhe pata hai?,"haan, pata hai."
tum kya soch rahe ho?,"kuchh nahi, bas soch raha hun."
kya tumko madad chahiye?,"haan, please."
kya tumko pata hai?,"haan, pata hai."
kya tumko yaad hai?,"haan, yaad hai."
tum kya karne wale ho?,"kuchh nahi, bas aise hi."
tumhe kaisa laga?,bahut achcha laga.
kya tumko achcha laga?,"haan, mujhe bahut achcha laga."
tum kaise ho?,"main accha hun, tum batao."
kya ho raha hai?,"bas yaar, bohot busy hu, exams hai na!"
aaj khana kya banaya hai?,"aloo matar hai, tum kya laaye ho?"
kya tumhe yeh dress pasand aayi?,"haan, bohot achi hai, mujhe kharidni hai!"
kal movie dekhne ja rahe ho?,"haan, bahubali dekhne ja rahe hai!"
kya tum phone kar sakte ho?,"haan, thodi der mein, abhi bahut kaam hai!"
aaj kitne pैसे miliye?,"bahut kam, aaj kaam kam tha!"
ye song kitna mast hai?,"haan yaar, super hit hai!"
mujhe thoda thanda lag raha hai,"coffee pee lo, tabhi theek ho jaaoge!"
aaj kya plan hai?,"koi plan nahin, bas ghar pe hi relax karunga!"
kya tumhe coffee pasand hai?,"haan, chai se zyada coffee pasand hai!"
abhi tum kya kar rahe ho?,"kuch nahin, bas phone pe baat kar raha hu!"
"mujhe book padhni hai,tum kya kar rahe ho?",main toh bas tv dekh raha hu!
tumne lunch kiya?,"haan, aaj office mein hi lunch kiya!"
kya tumhe kabaddi pasand hai?,"haan, mujhe khel pasand hai, kabaddi bhi!"
"yeh batao,kya tumhe yeh movie pasand aayi?","bilkul nahin, bohot boring thi!"
ab kya kar rahe ho?,"kuch nahin yaar, abhi kuch nahi socha hai!"
kya tumne homework kiya?,"haan, kal subah dekhni hai!"
ye kya kar rahe ho?,"kuch nahin, bas ek website dekhe ja raha hu!"
aaj kya khayega?,"kuch khaane ka mood nahi hai, shayad aaj fast food!"
kya tumhe cricket pasand hai?,"haan yaar, bohot pasand hai, india ko support karti hu!"
aaj tum kya kar rahe ho?,"koi plan nahin, shayad kuch shopping karne jaunga!"
yeh dress kaise lagi?,"bohot achi, isme tum bohot khoobsurat lag rahi ho!"
tumhe kis tarah ka music pasand hai?,muje sab tarah ka music pasand hai!
kya tumhe dance karna pasand hai?,"haan, mujhe dance karna bohot pasand hai!"
tum kabhi travel karte ho?,"haan, baar baar jaati hu!"
aaj kya hua?,"kuch nahin, bas bore ho rahi thi, socha tumse baat kar lu!"
kya tumhe biryani pasand hai?,"haan, bohot pasand hai, shaam ko khana banaongi!"
tum kabse aaye ho?,"abhi abhi aaya hu, bohot traffic tha!"
kya tumhe comedy pasand hai?,"haan, bohot pasand hai, haansta hu bahut!"
tumhara mood kaisa hai?,"bohot achcha, aaj to bohot khushi ho rahi hai!"
kya tumhe yaad hai?,"haan yaar, kaise bhool sakta hu!"
kya tumne exam diya?,"haan, ab result ka intezaar hai!"
aaj ka weather kaisa hai?,"bhaut garmi hai, phir bhi baarish bhi ho rahi hai!"
kya tumne khaana banaya?,"haan, tumne aaj dinner banaya hai kya?"
kya tumhe yoga karna pasand hai?,"haan, mujhe yog karna bahut pasand hai!"
tum kabhi gym jate ho?,"haan, har roz jaati hu!"
tumhare favourite colour kaun sa hai?,"mera favourite colour blue hai, tumhara?"
aaj tum kya pehne ho?,"aaj maine saari pehni hai, tum kya pehne ho?"
kya tumne yeh movie dekhni hai?,"haan, bohot time se dekhni chahti thi!"
"kya,tumne yeh movie dekhi?","haan, actually abhi kal hi dekhi."
"arey yaar,mera phone charge nahi ho raha!","charger lagakar dekh, shayad low battery hai."
"aaj bahar bahut garmi hai,na?","haa, toh, chalo aaj ghar pe hi rehtay hain."
aaj kaise ka din raha?,"acha tha, aap kaise hain?"
lunch pe kya khaate ho aaj?,aaj toh ghar se dabba hi laayi hoon.
ye cake kahaan se liya?,"oh, yeh to maine khud banaya hai."
kitne interesting clothes hai aapke!,"aarey, yeh toh meri maa ne diya hai."
aaj ka match kaise raha?,"aree, bahut boring tha, ab toh kuchh excitement nahi hai."
"kya,tumhara train late ho gaya?","haan, toh, ab kya karenge, wait toh karna hi padega."
yeh bag bahut alag type ka hai!,"haan, ye to vintage style hai."
kaise ka haal chal raha hai?,"accha chalaa raha hai, aapka kaisa?"
ye new restaurant kaise laga?,"bahut alag hai, khana bhi tasty tha."
konsi book padh rahe ho?,"aarey, bas ek romantic novel padh rahi hoon."
aaj ka weather kaisa hai?,"aaj toh suhana hai, dhoop nikal aayi hai."
kya tumhari favourite chai hoti hai?,"haa, adrak wali chai mujhe bahut pasand hai."
kitne beautiful flowers hai!,"haa, garden se todiye hain, meri nani ki hai."
ye cake kaun bana?,"aarey, maine hi banaya hai, try karo."
kya tumhari diwali plan ban gayi?,"haa, ab toh bahut jald diwali aane wali hai."
"kya,tumhe new phone chahiye?","haan, mere current phone mein battery issue hai."
konsi movie dekh rahe ho?,abhi toh ye horror movie chal rahi hai.
kaise hai aapka pet?,"aarey, thoda kharab hai, khana khana mushkil hai."
aaj aap kya karne wali ho?,"aarey, bas ghar pe hi rehne ka man hai."
kya tumhari favourite colour kaun sa hai?,"aarey, mera favourite colour toh blue hai."
ye dress kaise laga?,"bahut stylish hai, yeh mujhe bohot pasand aaya."
konse restaurant pe jayein aaj?,"aarey, kuchh naya try karte hai aaj."
aap kaisa feel kar rahi ho aaj?,aaj toh kuchh thka hua feel kar rahi hoon.
aapki favourite gaadi kya hai?,"aarey, mujhe sports cars pasand hai."
kya aapki koi holiday plan hai?,"haa, diwali ke baad goa jaane ka plan hai."
ye necklace bahut cute hai!,"aarey, yeh toh mere friend ne gift kiya tha."
konsi show dekh rahe ho?,"aarey, bas ek comedy show dekh rahi hoon."
aaj ka kaam kaisa raha?,"aarey, aaj to thoda busy din raha hai."
kya aap kuchh sweet chahte ho?,"haa, kuchh chai ke sath khaane ko."
kya tumhara naam kya hai?,"mera naam ananya hai, aur aap ka?"
yeh flower kaun liya?,"aarey, yeh toh maine apni maa ke liye liya hai."
aap kaise ho?,"aarey, thik hoon, aap kaise ho?"
konsi shop pe jaoge shopping ke liye?,"aarey, ek new shop open hui hai, waha jaoongi."
aaj ki party kaisi rahi?,"aarey, mazedaar thi, aap ne kaise maza kiya?"
kya tumne ye restaurant try kiya hai?,"haan, bahut aacha hai, aap bhi try kar sakte ho."
"kya,lunch aaj office mein hi kar rahi ho?","haan yaar, aaj thoda rush hai."
ab toh aapko shaadi karni hi chahiye na?,"haan, maami, kabhi na kabhi toh."
"mujhe yeh dress bahut pasand aaya,kya tumhare saath shopping chal sakti hu?","sure yaar, kal evening free hu."
aaj kya banana hai dinner mein?,aaj toh bas sabzi and roti banaungi.
kaise ho tum?,"main toh thik hoon, tum kya kar rahi ho?"
movie chalne ja rahi ho?,"haan yaar, aap bhi aao na?"
aaj toh bahut bheed hai?,"haan yaar, market mein toh hamesha rush hi rehta hai."
aap kya kar rahi thi?,"bas, coffee peene gayi thi."
kal kya plan hai?,"kuch nahi, ghar pe hi relax karungi."
kya kar rahi ho tum?,"bas yaar, kuch online shopping kar rahi thi."
yeh book padh li kya?,"nahi yaar, abhi toh half hi padhi hai."
kya tum mujhe chai bana sakti ho?,"sure, abhi bana deti hu."
aap kaise ho?,"mein toh thik hoon, aap kaise ho?"
kya yeh saree aapko pasand aayi?,"haan, bahut suंदर hai."
aapko kya pata?,"muze toh kuch bhi nahi pata, mere dost ne bola tha."
"kya,aaj concert jaane wala hai?","haan yaar, bahut excited hu!"
kya aap mujhe train station tak drop kar sakti ho?,"sure yaar, koi problem nahi."
tum aaj bahut late ho?,"haan yaar, traffic bahut jyaada tha."
kuch khaane ka mann kar raha hai?,"haan yaar, chai aur samosa khaane jaate hai."
kya tumne yeh film dekh li?,"haan yaar, kal dekhne gayi thi."
kya aap ko yeh painting pasand aayi?,"haan, bahut khoobsurat hai."
aap kal kya kar rahe the?,"bas yaar, ghar pe hi relax kar raha tha."
aapko kya samajh aaya?,"mujhe toh kuch bhi nahi samajh aaya, aap samjhao na."
"kya,aaj party hai?","haan yaar, birthday party mein ja rahi hu."
kya tumhara phone kharab hai?,"haan yaar, battery dead hai."
kya aapko kuch chai chaiye?,"haan yaar, ek cup banaiye na."
tumko kya karne ka mann kar raha hai?,"kuch nahi yaar, bas relax karna hai."
kya aap mujhe help kar sakti ho?,"haan yaar, koi problem nahi."
kya tumko yeh song pasand aaya?,"haan yaar, bahut achcha hai."
aaj kya pehna hai?,aaj toh bas casual dress hi pehna hai.
tumne kya khaana banaya?,aaj toh sabzi aur daal banaayi hai.
aap kaise ho?,"main toh thik hoon, tum kya kar rahi ho?"
kya tumhe ye book pasand aayi?,"haan yaar, bahut achcha story hai."
aap kya kar rahi thi?,"bas, kuch work kar rahi thi."
aapko kya karna hai aaj?,"kuch nahi yaar, ghar pe hi relax karna hai."
"kya,aaj party hai?","haan yaar, friend ki birthday hai."
kya aapko yeh song pasand aaya?,"haan yaar, bahut achcha hai."
aap kaise ho?,"main toh thik hoon, tum kya kar rahe ho?"
kya tumhe yeh dress pasand aaya?,"haan yaar, bahut sundar hai."
aap kya kar rahi thi?,"bas, kuch shopping kar rahi thi."
kya tumko yeh movie pasand aayi?,"haan yaar, bahut mast thi."
aaj toh bahut garmi hai na?,"haan yaar, itni garmi mein bahar nikalna bhi mushkil hai."
kya khaana banaya aaj?,"aaj toh khichdi hi banayi hai, time hi nahi tha."
kya movie dekh rahi thi?,"kuch nahi, bas netflix pe random series dekh rahi thi."
"kya hua,khush lag rahi ho?","haan yaar, finally friday aa gaya, ab weekend enjoy karne ka time hai!"
kaise hai aap?,"bahut achchhe, aap kaise hain?"
"haan yaar,kaafi busy chal raha hu.","aaah, samjha, office ki life hi aisi hoti hai."
"bhai,tujhe pata hai kaise?","han, mere dost ne bhi yahi kaha tha."
"chal na,chai peethi jaate hai?","haan chal, time toh hai hi."
kya kya shopping kiya?,"kuch zyada nahi, bas zara sa kharidari ki thi."
ye saree kahaan se li?,"aapke liye thodi gift hai, pasand aayi?"
"haan,kya bat, aaj to bahut khush lag rahe ho?","haan yaar, finally ek promotion mil gaya."
"kya kar rahe ho,aaj?","kuch nahi, ghar pe hi relax kar raha hu."
tumne kya gift liya?,"kuch nahi, bas ek chota sa card liya."
"aaj toh bahut garmi hai,kya kar rahi ho?","bas acchi chai pi rahi hu, thandak laane ke liye."
kya soch rahi ho?,"kuch nahi, bas din ki planning kar rahi thi."
kya kar rahi thi?,"bas kaam kar rahi thi, ek deadline hai."
aap kaise hain?,"theek hu, aap kaise hain?"
ye dress toh bahut sunder hai!,"haan yaar, aaj shopping pe gayi thi, bahut pasand aaya."
aaj toh kuch special banaya hai?,"haan, birthday hai aaj, family ke liye banaya hai."
"bhai,ye kahaan se liya?","online order kiya tha yaar, ek sale thi."
kya ho raha hai aaj?,"aaj toh ghar pe hi kuch kaam tha, ab relax kar rahi hu."
"haan yaar,aaj kaafi thaka hu.","aaah, kaam ke baad to aise hi lagta hai."
kya khana banaya?,"aaj to aalu paratha banaya hai, aapke liye special."
ye kya leke aaye ho?,"kuch nahi yaar, bas tumhare liye coffee li hai."
aapki beti kaise hai?,"bahut achchi hai, aapki family kaise hai?"
kaise ho aap?,"haan yaar, busy toh bahut hu, par sab theek hai."
kya chal raha hai?,"kuch nahi, bas kaam kar rahi hu, aur apna time spend kar rahi hu."
aaj kya special hai?,"kuch nahi, aaj normal day hai."
kya karna hai aaj?,"kuch nahi, bas ghar pe relax karna hai."
kya kar rahi thi?,bas youtube pe kuch videos dekh rahi thi.
kya soch rahe ho?,"kuch nahi, bas apne life ke bare mein soch raha hu."
"haan,ye book toh bahut interesting hai!","haan yaar, aapko bhi padhna chahiye."
kya ho raha hai?,"kuch nahi, bas chai pee rahi hu aur tumhe wait kar rahi hu."
"bhai,ye kya leke aaya hai?","kuch nahi yaar, bas tumhare liye ek gift hai."
"haan yaar,kaafi bore ho rahi hu.","chal na, movie dekhne chali jaate hain."
"kya kar rahe ho,aaj?","bas ghar pe kaam kar rahi hu, aur baad mein kuch kharidari karne jaungi."
aapko kya pasand hai?,mujhe toh chai aur samosa pasand hai.
kya aaj party mein aayega?,"aana chahiye, but kaam itna heavy hai."
kya tumhe yeh dress pasand aayi?,"haan yaar, aapke upar bohot khubsurat lag rahi hai."
aaj ka lunch kya hai?,"bas simple, chai and sandwich bana rahi hoon."
kya tune new phone le liya?,"haan, abhi to khushi khushi chala rahi hoon."
tumhara college kaisa chala aaj?,"accha chala, aaj toh syllabus pura kar diya."
ye movie dekhne ja rahe ho kya?,"haa, chalo jaldi se book kar lete hai tickets."
kitna time laga aapko office se aane mein?,"traffic bahut tha, ek ghanta to lag gaya."
aapko kya khaana pasand hai?,mere favorite hai rajma chawal.
tune new car le liya kya?,"haan yaar, ek to gift diya family ne."
tumhara exam kaisa gaya?,"bohot accha gaya, i hope i pass!"
kya aaj rain aayegi?,"nahi, weather forecast mein sunny dikha hai."
kaise ho aap?,"bas, abhi thukra ke khana khaya."
tumhari favorite season konsa hai?,"yaar, mujhe to barish ka mausam bohot pasand hai."
aaj koi plan hai?,"nahi yaar, bas ghar pe relax karne ka mood hai."
ye lipstick kaha se liya?,"oh, new launch hua hai, sephora se."
aapko dance karna pasand hai?,"haan, ekdum! but naachna to aata nahi."
kya tumhe coffee pasand hai?,"haan, mujhe strong coffee bohot pasand hai."
kya aaj shopping karne jaaoge?,"haan, ek din to shopping ka hi banta hai."
tumhara boyfriend kaisa hai?,"bohot accha hai, caring and understanding."
kya tumhe movies dekhna pasand hai?,"haan, mujhe horror movies bohot pasand hai."
aapne ye saree kaha se li hai?,"oh, ye to maine apni mom se li hai."
aaj ka party kaisa raha?,"bohot maza aaya, sabse mil ke bahut khushi hui."
kya tumne ye dress online order ki?,"haan, myntra se, discount me mili."
kya aaj tumhare birthday hai?,"haan, aaj to cake khana hai, tumhare sath."
tumhara birthday kab hai?,my birthday is next month.
kya tumne yeh cake khud banaya?,"haan yaar, aaj to mera mood tha cooking ka."
kya tumhe dance karna aata hai?,"haan, thoda thoda toh aata hai."
aapne kaise banaya yeh delicious food?,"simple recipe hai, try kar ke dekho."
kya aaj tumhe kisi ki shaadi mein jaana hai?,"haa, meri best friend ki shaadi hai."
kya aaj aapne kuchh khaana banaya?,"haan, aaj to paneer tikka masala banaya."
tumhara naam kya hai?,mera naam priya hai.
aaj ka weather bahut garmi hai?,"haan, humidity bhi bohot hai."
kya aaj aap ghar pe ho?,"haa, aaj to office nahi jaane ka mood hai."
tumhare school mein kya chal raha hai?,"exams ka pressure hai, bahut busy hoon."
kya aapko yoga karna pasand hai?,"haan, daily yoga karti hoon."
aaj tumhe kya khana pasand hoga?,"kya pata, aaj to mood hi kharab hai."
kya tumhe music pasand hai?,"haan, mujhe romantic songs bohot pasand hai."
kya aapko books padhna pasand hai?,"haan, mujhe crime fiction bohot pasand hai."
kya aap kisi ek language mein expert ho?,"haan, mujhe french bohot achhi aati hai."
kya khana banaya aaj?,"kuch simple sa, dal chawal."
kya aaj party kar rahe ho?,"nahi yaar, ghar pe hi relax karna hai."
tune yeh dress kaha se liya?,"online shopping se, sale mein mila tha."
ye movie kab aayegi?,agle hafte release ho rahi hai.
bus mein aaj kitna bheed tha?,"haan yaar, bahut bheed thi."
chalo chai peetho?,"haan chal, mein chai banaati hoon."
kya tumne woh book padhi?,"haan padhi, bahut achi thi."
aaj kya kar rahe ho?,"kuch nahi yaar, ghar pe hi chill kar rahi hoon."
kya tu mujhe phone karogi?,"haan, kal raat ko."
kaise ja rahi hai?,"thik ja rahi hoon, tu?"
koi plan hai weekend ke liye?,"nahi yaar, abhi kuch nahi."
mujhe tumhari recipe chaiye,"haan, batao kya banana hai?"
kya tumne yeh song suna?,"nahi, kya hai ye?"
maine aaj ek naya dress kharida!,show off mat kar!
kya tumhari exam aaj hai?,"haan, abhi hi deni hai."
kaise kaam chal raha hai?,"thik hai, thoda busy hoon."
kya tum kabhi mumbai gayi ho?,"haan, bahut baar."
kuch khana chahti ho?,"nahi yaar, abhi khana nahi hai."
aapke ladke kaise hai?,"bachche thik hai, padhai mein busy hai."
kya aapne kabhi ghodi sawari ki hai?,"nahi, main to darti hu."
kaise hai tumhari mom?,"wo thik hai, tumhari?"
"aapko kya pasand hai,coffee ya chai?","chai, aapko?"
kya tumhe dance karna pasand hai?,"haan, bahut pasand hai."
aapne kya gift diya?,kuch simple sa hi.
kya aaj baarish hogi?,"nahi pata yaar, weather check kar lo."
kya tumhe aaj bore ho raha hai?,haan thoda sa.
kuch khana banaya aaj?,"haan, sabzi banaai hai."
kya aapko phone kar sakta hoon?,"haan, kar sakte ho."
tumhari exam kaise gayi?,"thik thi, ab result ka wait hai."
kya tumhe movie dekhne jaana pasand hai?,"haan, bahut pasand hai."
kya aapki mummy ghar pe hai?,"haan, wo khana bana rahi hai."
kya aapke dosto ne aaj call kiya?,"nahi, aaj koi nahi bulaya."
kaise hai tumhari family?,"sab thik hai, aapke?"
kya aapko kabhi mumbai jaana hai?,"haan, jarur jaana hai."
aapke bachche ka naam kya hai?,uska naam rohan hai.
kya tumhe shaadi karne ka plan hai?,"abhi nahi yaar, thoda time hai."
kya aapke husband kaise hai?,"wo bahut acche hai, aapke?"
kya tumhe yoga karna pasand hai?,"nahi, mujhe exercise nahi karni pasand hai."
aaj aap kaise ho?,"thik hoon, aap kaise hain?"
aapke bhai kaise hai?,"bhai thik hai, shaadi mein busy hai."
kya aapne kabhi yeh book padhi?,"nahi, kya hai yeh?"
kya aap mujhe apna phone number de sakte hai?,"haan, mujhe email kar do, main bhej deti hoon."
kya tumhe aaj kaam karna hai?,"nahi yaar, aaj toh chutti hai."
kaise ho?,"acha hun, tu?"
"are yaar,kaafi busy hu aaj kal","haan, mujhe bhi lag raha hai."
"chalo,chai peena?","haan, chaloo!"
kya plan hai weekend ke liye?,"kuch nahi yaar, bas chill karna hai."
aaj kya banaya tune?,bas simple dal chawal hi.
mujhe aaj movie dekhne ka mann hai,kaun si?
koi romantic movie dekho,"accha, kal jaate hain."
kya tumhare parents aaye?,"haan, kal hi gaye."
shopping ke liye kya plan hai?,kal mall me jaana hai.
kitna kharcha ho gaya aaj?,"bahut zyada, yaar!"
aaj kya padha tune?,"bahut sara, par samajh nahi aaya."
mujhe aaj akele bahar jaana hai,kya kar rahi ho?
"kuch nahi,bas thoda fresh hona hai","ok, enjoy."
mujhe tension ho rahi hai,kyon?
aaj exam hai,"relax, sab thik hoga."
mujhe yeh dress pasand hai,it's so pretty!
aaj kya khaaya tune?,bas khichdi.
kal party hai?,"haan, aana?"
"haa,jarur aaungi",awesome!
kya tumhe kabaddi pasand hai?,"haan, bahut!"
mujhe cricket nahi samajhta,maine bhi pehle nahi samjha tha
kaun sa gana suna raha hai?,new song by arijit singh
tum kaun si language seekh rahi ho?,french seekh rahi hoon
kaise hai sab?,"sab thik hai, bas thoda thka hua hun"
mujhe aaj khana banane ka mann hai,kya banane ka plan hai?
pizza banaaungi,"wow, bahut mast!"
kal apne college ke liye kya plan hai?,"kuch nahi, bas classes mein jana hai."
mujhe khana pakana pasand nahi hai,"koi baat nahi, bahar khaa lete hain."
mujhe kal party jaana hai,"haan, kaun si party?"
ek birthday party,mujhe bhi bulana!
mujhe aaj koi dost aane wala hai,kya karne?
"kuch nahi,bas baten karna hai","accha, theek hai."
kya tumhare pet me koi khali jagah hai?,"haan, kya karne ka plan hai?"
chai peena hai,chalo.
kya tumhe ghoomna pasand hai?,"haan, bahut!"
kaun si jagah pe jaana chahti ho?,ghats me ghoomne jaana chahti hu.
aaj kaise ho?,thoda thka hua hu
kaun sa show dekh rahi ho?,new season of stranger things dekh rahi hoon.
kya tumhe comedy movies pasand hain?,"haan, bahut!"
mujhe kuch nahi samajh aaya aaj class mein,"koi baat nahi, aaj padhaai mein focus nahi tha."
aaj kuch khaas kar rahi ho?,"kuch nahi, bas chill karna hai"
kya tumne kabhi khao sue ke liye koi course kiya hai?,"nahi, par karne ka plan hai."
mujhe aaj bahar jaana hai,"haan, kaun si jagah?"
mall mein jaana hai,"ok, kuch shopping karni hai?"
"nahi,bas ghoomna hai",accha.
mujhe yeh gaana bahut pasand hai,kaun sa gaana?
aaj akele kyun ghoom rahi ho?,"bas aise hi, thoda fresh hona tha"
kaise ho?,"haan thik hu, tum batao."
"oye,phone charge hai tumhare paas?","haan hai, kya karna hai?"
chai bana ke le aana?,"accha thik hai, 5 minutes."
mujhe lagta hai yeh movie bahut boring hai.,"are yaar, shuruat mein toh maza aa raha tha."
kitne rupay lage?,"paanch so, kya karein, costly hai yaar."
kya khaane ka mann hai?,aaj toh pizza khane ka mood hai.
"aaj party hai,aana?","are waah, jarur aaunga."
kuchh help chahiye kya?,"haan, thoda sa support karna padega."
kya tumhara mobile kaam kar raha hai?,"haan chal raha hai, tumhe kya chahiye?"
aaj ki raat bahar jaana hai?,"haan, kahaan jaana hai?"
aap mujhe ghar chhod doongi?,"haan, bilkul, tumhe tension mat lo."
kuchh khane ko hai?,"kuchh snacks toh hai, kya khaana chahte ho?"
aaj kya karna hai?,"kuchh khaas toh nahi, bas aaram karna hai."
"kal exam hai,tension ho rahi hai?","haan yaar, thoda nervous hu."
mujhe koi achcha music playlist batao.,"are, mere phone mein toh bohot sare playlists hain."
kya tumne woh film dekhi?,"nahi dekhi, kya acchi hai?"
mujhe lagta hai bahut samay ho gaya hai.,"haan yaar, time toh aise hi nikal jata hai."
kya tumhe koi problem hai?,"nahi yaar, sab theek hai, tension mat lo."
kya tumne kaam pura kar liya?,"haan kar liya, kya chahiye?"
aaj shopping karne jaana hai?,"are, chalte hain, mujhe bhi kuchh chahiye."
kya tumne mere paas kuchh rakha tha?,"nahi yaar, mujhe yaad nahi."
tumhari mummy aayi thi?,"haan, aayi thi, kyun?"
kya tumhe woh game pasand hai?,"haan, bahut maja aata hai khilne mein."
mujhe thoda headache ho raha hai.,"haan, khane ke baad aise hi hota hai."
aaj ki raat kya plan hai?,"kuchh khaas toh nahi, bas aaram karunga."
kya tumhe yeh color pasand hai?,"haan, mujhe toh bahut achcha lagta hai."
aapne aaj kya khaaya?,"kuchh khaas toh nahi, bas breakfast kiya hai."
mujhe kal interview hai.,"are wah, best of luck!"
aapne kaunsi book padhi thi?,"yeh toh woh hai na, jo aapne suggest ki thi."
tumhaari mummy ka kya hai?,"are thik hai, woh aapko kaise pata?"
kya tumhara koi boyfriend hai?,"are yaar, yeh kya puchh rahe ho?"
aapki chutti kab hai?,"bhai, mujhe toh abhi pata nahi hai."
"mujhe thodi samay mila hai,aao, coffee piye.","are haan, chalte hain."
kya tumne mera phone uthaya tha?,"are yaar, maine toh nahi uthaya."
aapke ghar ka address batao?,"yeh toh tumhe pata hai na, yaad nahi hai?"
kya aapke paas wifi hai?,"haan hai, passward kya hai?"
mujhe pata nahi hai kaise karna hai.,"are, batao, kya problem hai?"
kya tumhe yeh gaana pasand hai?,"haan, yeh toh classic hai yaar."
mujhe aaj kuchh achcha khane ka mann hai.,aap khana kya chahte ho?
kya tumne aaj kuchh kaam kiya hai?,"haan, kuchh chote-mote kaam the."
kya tumne kuchh kharida?,"haan, kuchh vegetable"
aaj ka khaana kya banaya?,"aloo gobi, tera favourite!"
ye new shoes kaha se liye?,"zara se, discount mein mil gaye."
"kitna traffic hai yaar,office pahunchne mein kitna time lag gaya!","haan yaar, bahut busy road hai."
kya tumne yeh movie dekhi?,"nahin, kya story hai?"
"phone ka battery charge karo,jaana hai party mein?","haan, aaj toh party time hai."
"kuch khaane ko dijiye,bhook lagi hai!","pehle washroom use kar lo, phir chai banana hai."
kuch new book read kar rahi ho?,"haan, ek rom-com padh rahi hoon, bahut mazedaar hai."
apna coffee ka order place kiya?,"haan, abhi aa jaayega."
tumhare kaam pe kaise ja raha hai?,"theek hai, kuch challenges hain, but manage ho raha hai."
aaj koi plan hai?,"nahin, bas aaram se ghar pe hi rehna hai."
chalo movie dekhne chalte hain?,"aaj nahi, kal chalenge."
kya tumhe chai pasand hai?,"haan, chai toh life mein best hai!"
"aapke baare mein suna,kaise hain?","theek hoon, aap kaise hain?"
tumhe woh song pasand aaya?,"haan, bahut achcha tha!"
kya tumhaare paas pen hai?,"haan, wait karo."
